Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,502.730011,511.420013,501.339996,507.480011,492.600189,4219000
2023-02-20,500.820007,505.459991,484.700012,488.609985,474.283447,6277700
2023-02-27,492.549988,493.000000,465.329987,475.260010,461.324921,12912600
2023-03-06,476.519989,495.209991,468.380005,471.140015,457.325714,11064700
2023-03-13,466.799988,489.899994,466.799988,487.049988,472.769226,12387700
2023-03-20,488.000000,496.619995,484.290009,495.269989,480.748199,7788600
2023-03-27,497.279999,499.859985,485.410004,496.869995,482.301270,8130400
2023-04-03,496.500000,504.130005,477.500000,485.980011,471.730621,9774200
2023-04-10,483.899994,500.369995,481.660004,491.299988,476.894592,8540500
2023-04-17,492.769989,510.660004,491.149994,506.350006,491.503326,8295300
2023-04-24,506.100006,513.130005,493.390015,503.220001,488.465088,7136900
2023-05-01,499.149994,500.049988,485.929993,499.059998,484.427063,8765600
2023-05-08,497.369995,506.029999,495.100006,504.070007,490.310730,6363000
2023-05-15,504.010010,505.000000,491.899994,496.519989,482.966766,8367800
2023-05-22,497.000000,510.750000,476.750000,507.260010,493.413635,14069100
2023-05-29,509.790009,518.500000,501.589996,512.590027,498.598175,10557200
2023-06-05,512.590027,522.059998,510.570007,517.280029,503.160187,8036200
2023-06-12,517.280029,531.260010,516.000000,523.650024,509.356262,9469600
2023-06-19,521.950012,525.400024,516.539978,524.440002,510.124695,5505700
2023-06-26,524.400024,539.559998,521.260010,538.380005,523.684204,7541000
2023-07-03,537.250000,546.049988,524.630005,525.049988,510.718048,7071400
2023-07-10,525.059998,546.859985,525.059998,546.700012,531.777039,8654000
2023-07-17,546.179993,562.049988,546.099976,557.859985,542.632446,11946900
2023-07-24,558.000000,571.159973,555.880005,563.320007,547.943420,7852000
2023-07-31,563.000000,564.289978,551.020020,552.039978,536.971252,7051100
2023-08-07,554.989990,569.210022,551.840027,562.960022,547.593201,5657900
2023-08-14,564.770020,567.710022,543.109985,544.940002,530.065063,7531700
2023-08-21,543.859985,545.150024,530.559998,534.010010,519.433472,7756900
2023-08-28,536.000000,553.479980,533.119995,544.250000,530.394165,7231000
2023-09-04,545.729980,552.380005,540.179993,551.190002,537.157532,5606200
2023-09-11,552.809998,566.700012,551.859985,556.359985,542.195923,7809000
2023-09-18,558.179993,569.219971,554.280029,558.590027,544.369202,6674300
2023-09-25,559.489990,572.179993,544.729980,564.960022,550.576965,12408800
2023-10-02,567.909973,576.190002,542.630005,557.530029,543.336121,11463500
2023-10-09,555.000000,569.140015,549.780029,566.840027,552.409119,8110000
2023-10-16,569.690002,577.299988,552.010010,552.929993,538.853271,8458900
2023-10-23,554.140015,556.919983,540.229980,543.030029,529.205322,8641000
2023-10-30,545.739990,562.989990,543.640015,560.900024,546.620361,8753100
2023-11-06,560.489990,577.890015,560.130005,577.119995,563.459595,7970800
2023-11-13,575.000000,599.890015,572.239990,577.150024,563.488892,10581700
2023-11-20,577.340027,594.200012,577.340027,591.359985,577.362488,4512200
2023-11-27,592.520020,599.940002,582.830017,596.250000,582.136780,7463900
2023-12-04,592.150024,613.609985,591.460022,610.780029,596.322876,9400100
2023-12-11,621.969971,661.880005,618.760010,658.820007,643.225769,19595000
2023-12-18,664.500000,681.909973,659.450012,671.599976,655.703186,16981300
2023-12-25,673.010010,675.859985,657.159973,660.080017,644.455933,7094600
2024-01-01,655.580017,659.650024,640.510010,656.010010,655.047058,9673500
2024-01-08,655.809998,683.719971,654.030029,683.239990,682.237061,9991800
2024-01-15,683.239990,696.130005,678.159973,694.969971,693.949829,7575100
2024-01-22,695.429993,698.659973,675.960022,686.880005,685.871765,11185400
2024-01-29,689.900024,714.280029,686.260010,709.479980,708.438538,10171000
2024-02-05,710.640015,728.169983,704.340027,723.400024,723.400024,9687200
2024-02-12,723.520020,726.030029,709.039978,724.510010,724.510010,6260000
2024-02-15,721.489990,726.025024,718.280029,724.510010,724.510010,1181746
