Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,80.930000,83.330002,78.629997,83.040001,79.055962,8308200
2023-01-09,83.309998,86.889999,81.870003,85.779999,81.664497,10573500
2023-01-16,85.169998,86.440002,80.790001,82.669998,78.703705,8563700
2023-01-23,83.279999,85.480003,81.680000,85.180000,81.093292,10391800
2023-01-30,84.449997,93.320000,84.129997,90.320000,85.986679,12261200
2023-02-06,89.370003,90.269997,83.919998,85.519997,81.416969,7853300
2023-02-13,86.040001,89.230003,85.339996,86.940002,82.768852,9313300
2023-02-20,85.180000,85.180000,81.639999,83.820000,79.798546,8970100
2023-02-27,83.980003,84.820000,79.230003,83.260002,79.265396,17515000
2023-03-06,83.800003,84.309998,77.690002,78.610001,74.838501,10635200
2023-03-13,76.809998,77.480003,73.209999,76.730003,73.048706,21012500
2023-03-20,76.879997,79.480003,73.889999,74.320000,70.754326,13034400
2023-03-27,74.720001,78.379997,72.750000,78.269997,75.406853,10281300
2023-04-03,78.230003,79.120003,74.860001,75.080002,72.333549,8720300
2023-04-10,74.680000,75.919998,72.559998,73.379997,70.695724,9960200
2023-04-17,73.529999,74.029999,72.290001,72.760002,70.098419,9168200
2023-04-24,72.489998,74.629997,71.129997,74.519997,71.794022,9102300
2023-05-01,74.650002,74.980003,70.959999,73.570000,70.878784,8121400
2023-05-08,73.489998,73.800003,70.750000,71.730003,69.106094,9155900
2023-05-15,71.000000,74.099998,70.379997,70.529999,67.949982,13315800
2023-05-22,70.260002,74.820000,68.430000,74.330002,71.610977,19527500
2023-05-29,75.419998,75.989998,70.389999,73.209999,70.531952,12474300
2023-06-05,73.129997,76.000000,72.410004,75.239998,72.487694,10847000
2023-06-12,75.959999,80.830002,75.440002,79.790001,76.871254,16028800
2023-06-19,79.290001,80.080002,78.239998,79.129997,77.152931,7979200
2023-06-26,78.989998,83.489998,78.750000,81.949997,79.902473,11245800
2023-07-03,82.190002,82.580002,79.129997,79.300003,77.318687,9529400
2023-07-10,79.209999,82.809998,79.199997,80.230003,78.225456,7763300
2023-07-17,80.260002,84.529999,80.029999,82.760002,80.692238,9941200
2023-07-24,82.980003,85.400002,82.639999,82.900002,80.828743,9456700
2023-07-31,83.199997,83.870003,79.360001,79.830002,77.835442,9995900
2023-08-07,80.160004,80.580002,77.690002,79.290001,77.308937,8603200
2023-08-14,78.959999,79.800003,77.199997,78.589996,76.626427,8596200
2023-08-21,78.620003,79.500000,72.349998,72.669998,70.854332,12458400
2023-08-28,73.239998,78.910004,72.209999,75.269997,73.389374,20795200
2023-09-04,75.269997,75.500000,72.160004,73.230003,71.400345,9216300
2023-09-11,73.769997,73.980003,71.800003,72.389999,70.581337,9455100
2023-09-18,71.279999,72.129997,69.029999,69.250000,67.519783,10444400
2023-09-25,69.000000,69.970001,67.699997,69.470001,68.606201,9338700
2023-10-02,69.550003,69.839996,66.989998,68.760002,67.905029,10436500
2023-10-09,68.400002,71.610001,68.260002,69.489998,68.625954,9837000
2023-10-16,69.930000,72.489998,68.410004,68.680000,67.826027,10117300
2023-10-23,68.550003,69.269997,64.099998,64.410004,63.609123,9697500
2023-10-30,64.540001,67.940002,64.070000,67.190002,66.354553,11068900
2023-11-06,67.379997,67.870003,62.299999,64.120003,63.322727,13308900
2023-11-13,63.610001,69.239998,63.389999,68.220001,67.371742,20205200
2023-11-20,68.209999,69.690002,62.919998,69.510002,68.645706,18695200
2023-11-27,69.070000,73.500000,68.120003,73.419998,72.507088,16102000
2023-12-04,73.269997,75.750000,73.190002,73.989998,73.070000,13928200
2023-12-11,75.000000,78.419998,70.680000,77.320000,76.358597,22283400
2023-12-18,77.500000,77.839996,75.430000,76.139999,76.139999,11018600
2023-12-25,76.360001,78.949997,76.290001,78.279999,78.279999,7307700
2024-01-01,null,null,null,null,null,null
